id|parent_id|type|properties|metadata
n_10_10|ising_spin_16_2|cell|null|None
n_13_11|ising_spin_16_2|cell|null|None
n_13_13|ising_spin_16_2|cell|null|None
n_13_12|ising_spin_16_2|cell|null|None
n_10_14|ising_spin_16_2|cell|null|None
n_10_15|ising_spin_16_2|cell|null|None
n_13_10|ising_spin_16_2|cell|null|None
n_10_12|ising_spin_16_2|cell|null|None
n_9_3|ising_spin_16_2|cell|null|None
n_9_2|ising_spin_16_2|cell|null|None
n_9_1|ising_spin_16_2|cell|null|None
n_9_0|ising_spin_16_2|cell|null|None
n_9_7|ising_spin_16_2|cell|null|None
n_9_6|ising_spin_16_2|cell|null|None
n_9_5|ising_spin_16_2|cell|null|None
n_9_4|ising_spin_16_2|cell|null|None
n_13_15|ising_spin_16_2|cell|null|None
n_9_9|ising_spin_16_2|cell|null|None
n_9_8|ising_spin_16_2|cell|null|None
n_13_14|ising_spin_16_2|cell|null|None
n_5_11|ising_spin_16_2|cell|null|None
n_6_11|ising_spin_16_2|cell|null|None
n_15_11|ising_spin_16_2|cell|null|None
n_6_13|ising_spin_16_2|cell|null|None
n_6_14|ising_spin_16_2|cell|null|None
n_6_15|ising_spin_16_2|cell|null|None
n_15_15|ising_spin_16_2|cell|null|None
n_15_14|ising_spin_16_2|cell|null|None
n_14_14|ising_spin_16_2|cell|null|None
n_14_15|ising_spin_16_2|cell|null|None
n_14_10|ising_spin_16_2|cell|null|None
n_14_11|ising_spin_16_2|cell|null|None
n_14_12|ising_spin_16_2|cell|null|None
n_14_13|ising_spin_16_2|cell|null|None
n_2_12|ising_spin_16_2|cell|null|None
n_1_15|ising_spin_16_2|cell|null|None
n_0_12|ising_spin_16_2|cell|null|None
n_0_13|ising_spin_16_2|cell|null|None
n_0_10|ising_spin_16_2|cell|null|None
n_0_11|ising_spin_16_2|cell|null|None
n_4_8|ising_spin_16_2|cell|null|None
n_0_15|ising_spin_16_2|cell|null|None
n_4_6|ising_spin_16_2|cell|null|None
n_4_7|ising_spin_16_2|cell|null|None
n_4_4|ising_spin_16_2|cell|null|None
n_4_5|ising_spin_16_2|cell|null|None
n_4_2|ising_spin_16_2|cell|null|None
n_4_3|ising_spin_16_2|cell|null|None
n_4_0|ising_spin_16_2|cell|null|None
n_4_1|ising_spin_16_2|cell|null|None
n_6_8|ising_spin_16_2|cell|null|None
n_6_9|ising_spin_16_2|cell|null|None
n_0_0|ising_spin_16_2|cell|null|None
n_6_0|ising_spin_16_2|cell|null|None
n_6_1|ising_spin_16_2|cell|null|None
n_6_2|ising_spin_16_2|cell|null|None
n_6_3|ising_spin_16_2|cell|null|None
n_6_4|ising_spin_16_2|cell|null|None
n_6_5|ising_spin_16_2|cell|null|None
n_6_6|ising_spin_16_2|cell|null|None
n_6_7|ising_spin_16_2|cell|null|None
n_0_6|ising_spin_16_2|cell|null|None
n_11_15|ising_spin_16_2|cell|null|None
n_11_14|ising_spin_16_2|cell|null|None
n_11_13|ising_spin_16_2|cell|null|None
n_2_9|ising_spin_16_2|cell|null|None
n_11_11|ising_spin_16_2|cell|null|None
n_11_10|ising_spin_16_2|cell|null|None
n_2_4|ising_spin_16_2|cell|null|None
n_2_5|ising_spin_16_2|cell|null|None
n_8_10|ising_spin_16_2|cell|null|None
n_8_11|ising_spin_16_2|cell|null|None
n_2_0|ising_spin_16_2|cell|null|None
n_2_1|ising_spin_16_2|cell|null|None
n_8_14|ising_spin_16_2|cell|null|None
n_2_3|ising_spin_16_2|cell|null|None
n_5_6|ising_spin_16_2|cell|null|None
n_0_2|ising_spin_16_2|cell|null|None
n_0_3|ising_spin_16_2|cell|null|None
n_3_15|ising_spin_16_2|cell|null|None
n_3_14|ising_spin_16_2|cell|null|None
n_4_12|ising_spin_16_2|cell|null|None
n_0_7|ising_spin_16_2|cell|null|None
n_4_10|ising_spin_16_2|cell|null|None
n_3_10|ising_spin_16_2|cell|null|None
n_8_2|ising_spin_16_2|cell|null|None
n_8_3|ising_spin_16_2|cell|null|None
n_8_0|ising_spin_16_2|cell|null|None
n_8_1|ising_spin_16_2|cell|null|None
n_8_6|ising_spin_16_2|cell|null|None
n_8_7|ising_spin_16_2|cell|null|None
n_8_4|ising_spin_16_2|cell|null|None
n_8_5|ising_spin_16_2|cell|null|None
n_5_10|ising_spin_16_2|cell|null|None
n_11_9|ising_spin_16_2|cell|null|None
n_5_4|ising_spin_16_2|cell|null|None
n_10_13|ising_spin_16_2|cell|null|None
n_0_4|ising_spin_16_2|cell|null|None
n_7_13|ising_spin_16_2|cell|null|None
n_15_2|ising_spin_16_2|cell|null|None
n_1_11|ising_spin_16_2|cell|null|None
n_8_8|ising_spin_16_2|cell|null|None
n_14_1|ising_spin_16_2|cell|null|None
n_14_6|ising_spin_16_2|cell|null|None
n_2_8|ising_spin_16_2|cell|null|None
n_0_5|ising_spin_16_2|cell|null|None
n_7_11|ising_spin_16_2|cell|null|None
n_11_12|ising_spin_16_2|cell|null|None
n_5_7|ising_spin_16_2|cell|null|None
n_1_10|ising_spin_16_2|cell|null|None
n_5_5|ising_spin_16_2|cell|null|None
n_5_13|ising_spin_16_2|cell|null|None
n_5_3|ising_spin_16_2|cell|null|None
n_5_2|ising_spin_16_2|cell|null|None
n_2_13|ising_spin_16_2|cell|null|None
n_5_0|ising_spin_16_2|cell|null|None
n_2_14|ising_spin_16_2|cell|null|None
n_1_14|ising_spin_16_2|cell|null|None
n_2_10|ising_spin_16_2|cell|null|None
n_6_12|ising_spin_16_2|cell|null|None
n_5_9|ising_spin_16_2|cell|null|None
n_5_8|ising_spin_16_2|cell|null|None
n_7_1|ising_spin_16_2|cell|null|None
