event_id|time|elapsed|dev|rts|seq|L|S|M|port|cancel|fanout|send_event_id|type
76|0.0|0.0|n_6_4|1|76|[]|{"spin": 1, "rts": 1, "rng": 3276490391, "times": [0.270671, 0.602701, 0.34656, 4.20325, 2.91204], "spins": [1, -1, 1, 1, -1]}||||||init
77|0.0|0.0|n_13_5|0|77|[]|{"spin": 1, "rng": 1519386711, "times": [1.03914, 0.444392, 0.0986879, 0.601181, 0.843107], "spins": [1, 1, -1, -1, 1]}||||||init
74|0.0|0.0|n_13_1|0|74|[]|{"spin": -1, "rng": 2075619402, "times": [0.727184, 1.34615, 3.0035, 0.637919, 0.39912], "spins": [-1, -1, 1, 1, 1]}||||||init
75|0.0|0.0|n_0_15|0|75|[]|{"spin": 1, "rng": 2204461817, "times": [0.666961, 0.020688, 0.973556, 1.2781, 2.20646], "spins": [1, 1, -1, -1, 1]}||||||init
72|0.0|0.0|n_6_14|0|72|[]|{"spin": -1, "rng": 524168621, "times": [2.10339, 0.262092, 0.225097, 0.918344, 0.607271], "spins": [-1, -1, 1, -1, -1]}||||||init
73|0.0|0.0|n_13_9|0|73|[]|{"spin": 1, "rng": 488240631, "times": [2.17439, 0.67688, 0.837172, 0.47699, 2.07927], "spins": [1, -1, 1, -1, -1]}||||||init
70|0.0|0.0|n_12_6|0|70|[]|{"spin": 1, "rng": 398818547, "times": [2.37669, 0.843107, 0.601181, 1.63885, 1.27945], "spins": [1, 1, -1, -1, -1]}||||||init
71|0.0|0.0|n_8_1|0|71|[]|{"spin": -1, "rng": 907870052, "times": [1.5541, 1.81114, 0.432856, 0.213444, 0.322359], "spins": [-1, 1, 1, -1, -1]}||||||init
1029|3.0|0.0|n_3_1|0|1029|[]|{"spin": 1, "rng": 1097817208, "times": [1.36412, 1.37194, 2.08208, 1.36306, 1.46376], "spins": [1, 1, 1, 1, -1]}||in|||1027|recv
1084|3.0|0.0|n_5_9|0|1084|[]|{"spin": 1, "rng": 1088106389, "times": [1.37301, 1.18787, 0.814713, 0.681632, 0.668679], "spins": [1, -1, -1, -1, -1]}||in|||1082|recv
78|0.0|0.0|n_8_0|0|78|[]|{"spin": 1, "rng": 702088760, "times": [1.81114, 2.06096, 0.300056, 1.5541, 0.435321], "spins": [1, 1, -1, -1, 1]}||||||init
79|0.0|0.0|n_0_1|1|79|[]|{"spin": -1, "rts": 1, "rng": 4292165830, "times": [0.000652466, 1.2781, 1.52722, 0.0470394, 1.73188], "spins": [-1, -1, -1, -1, -1]}||||||init
1085|3.0|0.0|n_6_8|0|1085|[]|{"spin": 1, "lastFlipTime": 0.565645, "rng": 2206643585, "times": [1.23162, 0.931229, 0.709049, 0.814713, 1.18787], "spins": [1, 1, 1, -1, -1]}||in|||1082|recv
219|0.0|0.0|n_13_7|1|219|[]|{"spin": 1, "rts": 1, "rng": 3927943496, "times": [0.089328, 0.601181, 1.21552, 0.67688, 1.63885], "spins": [1, -1, 1, -1, -1]}||||||init
1014|3.0|0.0|n_12_9|0|1014|[]|{"spin": -1, "rng": 536962648, "times": [2.07927, 3.31618, 2.17439, 0.52094, 1.74988], "spins": [-1, -1, 1, -1, -1]}||in|||1012|recv
1082|3.0|0.0|n_5_8|0|1082|[]|{"spin": -1, "lastFlipTime": 0.137052, "rng": 2534346285, "times": [1.18787, 0.988281, 1.23162, 1.37301, 0.662919], "spins": [-1, -1, 1, 1, -1]}|{"spin": 4294967295, "time": 1.18787}|out|True|1||send
218|0.0|0.0|n_0_13|0|218|[]|{"spin": -1, "rng": 2260319270, "times": [0.641938, 0.194286, 0.247031, 0.020688, 0.148708], "spins": [-1, 1, 1, 1, -1]}||||||init
1083|3.0|0.0|n_4_8|0|1083|[]|{"spin": -1, "rng": 2213389478, "times": [0.662919, 1.81818, 1.18787, 0.668679, 0.531032], "spins": [-1, -1, -1, -1, -1]}||in|||1082|recv
819|2.0|0.0|n_5_15|0|819|[]|{"spin": -1, "lastFlipTime": 0.555115, "rng": 698219097, "times": [2.37178, 2.04019, 0.918344, 0.982637, 1.81767], "spins": [-1, 1, -1, 1, 1]}||in|||817|recv
1080|3.0|0.0|n_0_8|0|1080|[]|{"spin": 1, "lastFlipTime": 0.272286, "rng": 1110632681, "times": [1.6248, 0.883045, 0.966749, 1.41814, 2.94668], "spins": [1, 1, 1, -1, 1]}||in|||1077|recv
818|2.0|0.0|n_6_0|0|818|[]|{"spin": 1, "rng": 1035905546, "times": [1.42217, 0.918344, 0.435321, 2.92738, 0.982637], "spins": [1, -1, 1, 1, 1]}||in|||817|recv
789|2.0|0.0|n_12_6|0|789|[]|{"spin": 1, "rng": 398818547, "times": [2.37669, 0.843107, 0.819549, 1.63885, 1.27945], "spins": [1, 1, 1, -1, -1]}||in|||787|recv
1081|3.0|0.0|n_15_9|0|1081|[]|{"spin": -1, "rng": 1265196646, "times": [1.22222, 2.94668, 1.41814, 3.27864, 0.837172], "spins": [-1, 1, -1, -1, 1]}||in|||1077|recv
974|3.0|0.0|n_7_14|0|974|[]|{"spin": -1, "lastFlipTime": 0.225097, "rng": 1309270844, "times": [1.41307, 0.336384, 0.868348, 0.568542, 2.10339], "spins": [-1, -1, -1, -1, -1]}||in|||972|recv
788|2.0|0.0|n_13_5|0|788|[]|{"spin": 1, "rng": 1519386711, "times": [1.03914, 0.736943, 0.8354, 0.819549, 0.843107], "spins": [1, -1, 1, 1, 1]}||in|||787|recv
975|3.0|0.0|n_8_15|0|975|[]|{"spin": 1, "rng": 546883347, "times": [2.06096, 0.868348, 0.706272, 1.81114, 0.568542], "spins": [1, -1, 1, 1, -1]}||in|||972|recv
1017|3.0|0.0|n_8_8|1|1017|[]|{"lastFlipTime": 0.18945, "rng": 3969790625, "spins": [1, 1, -1, -1, 1], "rts": 1, "spin": 1, "times": [0.411285, 0.772179, 0.691185, 1.81805, 0.709049]}|{"spin": 1, "time": 0.411285}|out|True|1||send
972|3.0|0.0|n_8_14|1|972|[]|{"lastFlipTime": 0.0677639, "rng": 4143307499, "spins": [-1, -1, -1, 1, -1], "rts": 1, "spin": -1, "times": [0.868348, 1.15172, 1.00677, 2.06096, 1.41307]}|{"spin": 4294967295, "time": 0.868348}|out|True|1||send
973|3.0|0.0|n_9_14|0|973|[]|{"spin": -1, "rng": 1569375528, "times": [1.00677, 1.93417, 6.57664, 0.706272, 0.868348], "spins": [-1, -1, -1, 1, -1]}||in|||972|recv
631|1.0|0.0|n_9_3|0|631|[]|{"spin": 1, "rng": 1395495636, "times": [1.12419, 0.486164, 4.39314, 0.840067, 0.44181], "spins": [1, 1, -1, -1, 1]}||in|||627|recv
970|3.0|0.0|n_8_0|0|970|[]|{"spin": 1, "rng": 702088760, "times": [1.81114, 2.06096, 1.60942, 1.5541, 1.1885], "spins": [1, 1, 1, -1, 1]}||in|||967|recv
630|1.0|0.0|n_10_4|0|630|[]|{"spin": -1, "rng": 1862683836, "times": [0.835426, 4.39314, 0.0974943, 0.402859, 0.840067], "spins": [-1, -1, -1, -1, -1]}||in|||627|recv
971|3.0|0.0|n_6_0|0|971|[]|{"spin": 1, "rng": 1035905546, "times": [1.42217, 0.918344, 1.1885, 2.92738, 0.982637], "spins": [1, -1, 1, 1, 1]}||in|||967|recv
811|2.0|0.0|n_13_3|0|811|[]|{"spin": 1, "lastFlipTime": 0.409571, "rng": 104405575, "times": [4.12649, 1.61473, 1.29622, 0.736943, 3.69894], "spins": [1, 1, 1, -1, -1]}||in|||807|recv
345|0.0|0.0|n_3_12|0|345|[]|{"spin": 1, "rng": 1176828804, "times": [1.29462, 5.0733, 2.84589, 0.374498, 0.439776], "spins": [1, -1, -1, -1, 1]}||in|||342|recv
344|0.0|0.0|n_2_13|0|344|[]|{"spin": 1, "rng": 639886007, "times": [1.90391, 0.439776, 0.374498, 2.92308, 0.247031], "spins": [1, 1, -1, 1, 1]}||in|||342|recv
2|0.0|0.0|n_0_7|0|2|[]|{"spin": 1, "rng": 1776062668, "times": [0.883045, 0.412369, 0.410932, 0.272286, 0.659376], "spins": [1, 1, 1, -1, -1]}||||||init
346|0.0|0.0|n_4_13|0|346|[]|{"spin": -1, "rng": 538882527, "times": [2.0757, 2.84589, 0.167372, 5.13255, 0.374498], "spins": [-1, -1, -1, 1, -1]}||in|||342|recv
341|0.0|0.0|n_9_12|0|341|[]|{"spin": 1, "rng": 1093493879, "times": [1.36807, 1.20332, 2.07434, 1.93417, 3.23888], "spins": [1, 1, -1, -1, 1]}||in|||337|recv
340|0.0|0.0|n_8_11|0|340|[]|{"spin": 1, "rng": 1249933262, "times": [1.23435, 1.73214, 1.20332, 3.23888, 2.12436], "spins": [1, -1, 1, 1, -1]}||in|||337|recv
343|0.0|0.0|n_3_14|0|343|[]|{"spin": -1, "rng": 599541971, "times": [1.96903, 0.374498, 5.13255, 1.30138, 2.92308], "spins": [-1, -1, 1, -1, 1]}||in|||342|recv
342|0.0|0.0|n_3_13|1|342|[]|{"lastFlipTime": 0.218392, "rng": 3674210826, "spins": [-1, 1, -1, -1, 1], "rts": 1, "spin": -1, "times": [0.374498, 1.29462, 2.0757, 1.96903, 1.90391]}|{"spin": 4294967295, "time": 0.374498}|out|True|1||send
1089|3.0|0.0|n_13_1|0|1089|[]|{"spin": -1, "rng": 368304652, "times": [3.18347, 1.34615, 3.0035, 1.61984, 2.38793], "spins": [-1, -1, 1, -1, 1]}||in|||1087|recv
349|0.0|0.0|n_13_13|1|349|[]|{"spin": -1, "rts": 1, "rng": 3484143082, "times": [0.209222, 1.53597, 2.31285, 0.797783, 1.02519], "spins": [-1, -1, 1, -1, 1]}||in|||347|recv
348|0.0|0.0|n_14_12|1|348|[]|{"spin": -1, "rts": 1, "rng": 3206667920, "times": [0.292212, 4.11357, 1.40888, 2.31285, 1.53597], "spins": [-1, 1, -1, 1, -1]}||in|||347|recv
