Wed Aug 16 14:33:13 2017    profile.cprof

         133655314 function calls (133649116 primitive calls) in 433.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  433.079  433.079 manage.py:1(<module>)
        1    0.000    0.000  432.819  432.819 __init__.py:393(run)
        1    0.000    0.000  432.819  432.819 __init__.py:348(handle)
        1    0.001    0.001  432.810  432.810 commands.py:210(__call__)
        1    0.287    0.287  432.794  432.794 manage.py:16(run)
        1    0.375    0.375  432.507  432.507 db_builder.py:18(__init__)
        1   60.142   60.142  185.623  185.623 db_builder.py:669(device_states)
        1   54.392   54.392  164.966  164.966 db_builder.py:592(events)
  4176072    3.318    0.000   61.748    0.000 __init__.py:294(loads)
       41    0.002    0.000   60.363    1.472 db_builder.py:829(insert_rows)
  4176072    7.675    0.000   58.430    0.000 decoder.py:359(decode)
       45    0.005    0.000   40.384    0.897 graph_builder.py:108(execute_metis)
       45   39.414    0.876   39.414    0.876 {posix.system}
  4176072   39.111    0.000   39.111    0.000 decoder.py:370(raw_decode)
       48   38.503    0.802   38.503    0.802 {method 'execute' of 'sqlite3.Connection' objects}
  2286900    1.911    0.000   37.284    0.000 snapshots.py:11(parse_json)
  2286900   21.887    0.000   36.697    0.000 db_builder.py:775(build_snapshot_values)
       87   32.532    0.374   32.629    0.375 {method 'executemany' of 'sqlite3.Connection' objects}
       97   32.208    0.332   32.208    0.332 {method 'commit' of 'sqlite3.Connection' objects}
  1501710    2.327    0.000   26.996    0.000 db_builder.py:799(build_event_values)
        1    0.034    0.034   26.026   26.026 graph_builder.py:17(__init__)
  1889174    2.503    0.000   24.651    0.000 __init__.py:193(dumps)
  1889174    3.723    0.000   22.148    0.000 encoder.py:186(encode)
        1    0.001    0.001   18.679   18.679 db_builder.py:104(aggregates)
  1889172   15.834    0.000   15.834    0.000 encoder.py:212(iterencode)
        2    0.069    0.034   15.760    7.880 db_builder.py:357(aggregate_state_entries)
  3792335   11.988    0.000   11.988    0.000 {method 'iteritems' of 'dict' objects}
       48   11.125    0.232   11.125    0.232 {method 'execute' of 'sqlite3.Cursor' objects}
 11795883    6.376    0.000   10.299    0.000 events.py:216(detag)
  8353906   10.206    0.000   10.206    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
 31558008    9.382    0.000    9.382    0.000 {method 'split' of 'str' objects}
        1    5.784    5.784    8.472    8.472 load_xml_stream.py:82(load_graph_type_and_instances)
        1    0.160    0.160    5.020    5.020 db_builder.py:156(edges)
       44    3.224    0.073    4.311    0.098 graph_builder.py:90(set_edges)
 22819368    4.129    0.000    4.129    0.000 {isinstance}
  1501710    3.577    0.000    3.889    0.000 db_builder.py:762(compare_ranges)
       48    2.428    0.051    2.428    0.051 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.232    0.232    1.983    1.983 db_builder.py:316(device_partitions)
  2287027    1.049    0.000    1.642    0.000 load_xml_stream.py:9(detag)
1938294/1938268    1.614    0.000    1.614    0.000 {method 'join' of 'str' objects}
        1    0.163    0.163    1.239    1.239 db_builder.py:536(device_properties)
        2    0.003    0.002    1.118    0.559 db_builder.py:441(aggregate_property_entries)
  8352147    1.003    0.000    1.003    0.000 {method 'end' of '_sre.SRE_Match' objects}
       12    0.001    0.000    0.906    0.075 db_builder.py:839(create_table)
       45    0.686    0.015    0.797    0.018 graph_builder.py:113(read_metis_partition)
        1    0.000    0.000    0.618    0.618 graph_builder.py:150(__init__)
  3282039    0.577    0.000    0.577    0.000 {method 'lower' of 'str' objects}
        1    0.450    0.450    0.571    0.571 graph_builder.py:171(set_edge_instances)
       44    0.555    0.013    0.555    0.013 graph_builder.py:76(set_nodes)
  5165736    0.531    0.000    0.531    0.000 {method 'append' of 'list' objects}
4211531/4210872    0.441    0.000    0.441    0.000 {len}
       33    0.021    0.001    0.179    0.005 __init__.py:1(<module>)
       45    0.101    0.002    0.168    0.004 graph_builder.py:102(write_metis_input_file)
        1    0.001    0.001    0.158    0.158 db_builder.py:1(<module>)
        1    0.000    0.000    0.144    0.144 db_builder.py:130(device_types)
        1    0.000    0.000    0.143    0.143 graph_builder.py:1(<module>)
        1    0.001    0.001    0.143    0.143 __init__.py:23(<module>)
   436120    0.120    0.000    0.120    0.000 {method 'format' of 'str' objects}
  1223148    0.115    0.000    0.115    0.000 db_builder.py:604(<lambda>)
   218227    0.110    0.000    0.110    0.000 {method 'update' of 'dict' objects}
        3    0.002    0.001    0.101    0.034 __init__.py:2(<module>)
        1    0.001    0.001    0.095    0.095 __init__.py:11(<module>)
        1    0.000    0.000    0.091    0.091 db_builder.py:121(graph_properties)
        3    0.002    0.001    0.083    0.028 __init__.py:4(<module>)
   435902    0.073    0.000    0.073    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.066    0.066 db_builder.py:573(events_fields)
   326745    0.064    0.000    0.064    0.000 {method 'write' of 'file' objects}
      306    0.002    0.000    0.063    0.000 re.py:230(_compile)
      185    0.000    0.000    0.063    0.000 re.py:192(compile)
   438324    0.062    0.000    0.062    0.000 {min}
        1    0.000    0.000    0.062    0.062 __init__.py:16(<module>)
      115    0.001    0.000    0.061    0.001 sre_compile.py:567(compile)
   435918    0.060    0.000    0.060    0.000 {max}
        1    0.001    0.001    0.050    0.050 algebraicconnectivity.py:4(<module>)
        1    0.001    0.001    0.049    0.049 gml.py:24(<module>)
        1    0.001    0.001    0.047    0.047 __init__.py:106(<module>)
        1    0.046    0.046    0.046    0.046 graph_builder.py:165(set_device_instances)
        1    0.001    0.001    0.040    0.040 refactor.py:9(<module>)
        1    0.000    0.000    0.039    0.039 fixer_util.py:1(<module>)
        1    0.000    0.000    0.038    0.038 pygram.py:4(<module>)
        2    0.000    0.000    0.038    0.019 driver.py:109(load_grammar)
        2    0.000    0.000    0.038    0.019 pgen.py:384(generate_grammar)
   217924    0.037    0.000    0.037    0.000 {method 'copy' of 'dict' objects}
  116/115    0.001    0.000    0.036    0.000 sre_parse.py:706(parse)
  396/116    0.002    0.000    0.035    0.000 sre_parse.py:317(_parse_sub)
  601/121    0.013    0.000    0.034    0.000 sre_parse.py:395(_parse)
        1    0.000    0.000    0.034    0.034 add_newdocs.py:10(<module>)
  277/275    0.001    0.000    0.034    0.000 {__import__}
        1    0.001    0.001    0.033    0.033 exceptions.py:59(<module>)
        1    0.001    0.001    0.030    0.030 wrappers.py:22(<module>)
        1    0.000    0.000    0.029    0.029 _compat.py:3(<module>)
   327520    0.028    0.000    0.028    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.028    0.028 __init__.py:8(<module>)
        1    0.002    0.002    0.027    0.027 http.py:18(<module>)
        2    0.000    0.000    0.026    0.013 pgen.py:12(__init__)
        1    0.000    0.000    0.026    0.026 classic.py:12(<module>)
        2    0.000    0.000    0.025    0.013 pgen.py:145(parse)
      115    0.000    0.000    0.024    0.000 sre_compile.py:552(_code)
      235    0.001    0.000    0.022    0.000 decorator.py:198(create)
        1    0.000    0.000    0.022    0.022 iterators.py:33(<module>)
     2194    0.021    0.000    0.021    0.000 graph_builder.py:43(<lambda>)
        1    0.001    0.001    0.019    0.019 app.py:10(<module>)
        1    0.000    0.000    0.019    0.019 type_check.py:3(<module>)
 1209/115    0.008    0.000    0.018    0.000 sre_compile.py:64(_compile)
       68    0.001    0.000    0.016    0.000 {map}
   110512    0.016    0.000    0.016    0.000 {range}
    48246    0.015    0.000    0.015    0.000 {method 'split' of 'unicode' objects}
        1    0.006    0.006    0.014    0.014 events.py:1(<module>)
      235    0.003    0.000    0.014    0.000 decorator.py:164(make)
      117    0.000    0.000    0.014    0.000 decorator.py:221(decorate)
        1    0.000    0.000    0.014    0.014 app.py:1940(test_request_context)
        1    0.000    0.000    0.014    0.014 __init__.py:28(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:48(<module>)
        1    0.001    0.001    0.013    0.013 environment.py:10(<module>)
        1    0.000    0.000    0.012    0.012 testing.py:11(<module>)
        1    0.001    0.001    0.012    0.012 test.py:10(<module>)
        1    0.000    0.000    0.012    0.012 inspect.py:25(<module>)
        2    0.001    0.001    0.012    0.006 pgen.py:27(make_grammar)
        2    0.003    0.001    0.012    0.006 __init__.py:88(<module>)
        1    0.000    0.000    0.011    0.011 cookielib.py:26(<module>)
        1    0.001    0.001    0.011    0.011 utils.py:5(<module>)
     7118    0.003    0.000    0.011    0.000 sre_parse.py:212(get)
        1    0.002    0.002    0.010    0.010 routing.py:97(<module>)
        4    0.001    0.000    0.010    0.002 __init__.py:3(<module>)
      118    0.001    0.000    0.009    0.000 decorator.py:234(decorator)
   263/98    0.000    0.000    0.009    0.000 pgen.py:249(parse_rhs)
     8223    0.008    0.000    0.009    0.000 sre_parse.py:193(__next)
        1    0.000    0.000    0.009    0.009 tokenize.py:23(<module>)
  377/138    0.001    0.000    0.009    0.000 pgen.py:266(parse_alt)
       17    0.007    0.000    0.008    0.000 collections.py:305(namedtuple)
        1    0.000    0.000    0.008    0.008 __init__.py:164(create_parser)
  688/277    0.001    0.000    0.008    0.000 pgen.py:276(parse_item)
        1    0.000    0.000    0.008    0.008 tokenize.py:26(<module>)
      237    0.008    0.000    0.008    0.000 {compile}
     1215    0.002    0.000    0.008    0.000 pgen.py:61(make_label)
        1    0.000    0.000    0.007    0.007 newrange.py:19(<module>)
  607/311    0.001    0.000    0.007    0.000 pgen.py:296(parse_atom)
       89    0.000    0.000    0.007    0.000 decorators.py:15(not_implemented_for)
       98    0.002    0.000    0.007    0.000 pgen.py:169(make_dfa)
       98    0.002    0.000    0.007    0.000 pgen.py:228(simplify_dfa)
        2    0.002    0.001    0.006    0.003 __init__.py:15(<module>)
     1313    0.001    0.000    0.006    0.000 pgen.py:321(gettoken)
      510    0.001    0.000    0.006    0.000 sre_compile.py:228(_compile_charset)
        1    0.000    0.000    0.006    0.006 misc.py:37(<module>)
        1    0.000    0.000    0.006    0.006 nodes.py:14(<module>)
      115    0.001    0.000    0.006    0.000 sre_compile.py:433(_compile_info)
      235    0.002    0.000    0.006    0.000 decorator.py:90(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:7(<module>)
      809    0.005    0.000    0.005    0.000 {eval}
        8    0.000    0.000    0.005    0.001 argparse.py:1556(__init__)
        1    0.001    0.001    0.005    0.005 urllib.py:23(<module>)
       98    0.000    0.000    0.005    0.000 pgen.py:52(make_first)
     5590    0.004    0.000    0.005    0.000 pgen.py:368(__eq__)
        1    0.000    0.000    0.005    0.005 uuid.py:45(<module>)
     1446    0.003    0.000    0.005    0.000 tokenize.py:347(generate_tokens)
        1    0.001    0.001    0.005    0.005 misc.py:13(<module>)
      510    0.003    0.000    0.005    0.000 sre_compile.py:256(_optimize_charset)
       20    0.000    0.000    0.005    0.000 gettext.py:583(gettext)
       20    0.000    0.000    0.004    0.000 gettext.py:545(dgettext)
        1    0.001    0.001    0.004    0.004 newround.py:3(<module>)
       20    0.000    0.000    0.004    0.000 gettext.py:479(translation)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:41(<module>)
 1713/634    0.004    0.000    0.004    0.000 sre_parse.py:151(getwidth)
       20    0.001    0.000    0.004    0.000 gettext.py:424(find)
     5060    0.003    0.000    0.004    0.000 sre_parse.py:141(__getitem__)
       92    0.004    0.000    0.004    0.000 {open}
        1    0.000    0.000    0.004    0.004 cli.py:10(<module>)
        2    0.001    0.001    0.004    0.002 __init__.py:45(<module>)
        1    0.000    0.000    0.004    0.004 utils.py:10(<module>)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
        3    0.000    0.000    0.004    0.001 commands.py:175(create_parser)
        1    0.001    0.001    0.003    0.003 dag.py:2(<module>)
        2    0.001    0.000    0.003    0.002 core.py:1(<module>)
        1    0.001    0.001    0.003    0.003 cElementTree.py:3(<module>)
        1    0.000    0.000    0.003    0.003 util.py:247(find_library)
        1    0.000    0.000    0.003    0.003 util.py:209(_findSoname_ldconfig)
      459    0.000    0.000    0.003    0.000 pgen.py:313(expect)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 urllib2.py:76(<module>)
